row_id,embedding_seperated,embedding_model_name,sentence_embedding_method,feature_engenearing,grading_model,dataset_name,dataset_split,seed_data_split,shots,epochs,time_stamp,rmse,pears_correlation,p_value,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro,precision_weighted,recall_weighted,f1_weighted
0,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,neural_course,train_df,42,0,0,2023-05-28 01:08:13,0.7132420900043249,0.2003791647963454,1.7712752502320363e-05,0.331858407079646,0.1106194690265486,0.3333333333333333,0.1661129568106312,0.331858407079646,0.331858407079646,0.331858407079646,0.11013000234944,0.331858407079646,0.1653779437273983
1,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,neural_course,test_df,42,0,0,2023-05-28 01:08:13,0.7065415457449657,0.2094765310880551,0.0171939022344696,0.3565891472868217,0.1188630490956072,0.3333333333333333,0.1752380952380952,0.3565891472868217,0.3565891472868217,0.3565891472868217,0.1271558199627426,0.3565891472868217,0.1874640088593577
2,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,neural_course,validation_df,42,0,0,2023-05-28 01:08:13,0.6779470509957748,0.2426176055875368,0.0514994724072662,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
3,True,embed_words_glove,avg,cosine_similarity,Linear Regression,neural_course,train_df,42,0,0,2023-05-28 01:08:13,0.728005194758249,0.0023610074516608,0.9600771377757696,0.331858407079646,0.1106194690265486,0.3333333333333333,0.1661129568106312,0.331858407079646,0.331858407079646,0.331858407079646,0.11013000234944,0.331858407079646,0.1653779437273983
4,True,embed_words_glove,avg,cosine_similarity,Linear Regression,neural_course,test_df,42,0,0,2023-05-28 01:08:13,0.7226659685443795,-0.0046545185397296,0.9582491037705152,0.3565891472868217,0.1188630490956072,0.3333333333333333,0.1752380952380952,0.3565891472868217,0.3565891472868217,0.3565891472868217,0.1271558199627426,0.3565891472868217,0.1874640088593577
5,True,embed_words_glove,avg,cosine_similarity,Linear Regression,neural_course,validation_df,42,0,0,2023-05-28 01:08:13,0.6972754010010466,0.3926757056104408,0.0012145375921684,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
6,True,embed_words_glove,avg,cosine_similarity,Ridge Regression,neural_course,train_df,42,0,0,2023-05-28 01:08:13,0.7280052636200265,0.0023610074516658,0.960077137775711,0.331858407079646,0.1106194690265486,0.3333333333333333,0.1661129568106312,0.331858407079646,0.331858407079646,0.331858407079646,0.11013000234944,0.331858407079646,0.1653779437273983
7,True,embed_words_glove,avg,cosine_similarity,Ridge Regression,neural_course,test_df,42,0,0,2023-05-28 01:08:13,0.7226655600879915,-0.0046545185397327,0.9582491037704884,0.3565891472868217,0.1188630490956072,0.3333333333333333,0.1752380952380952,0.3565891472868217,0.3565891472868217,0.3565891472868217,0.1271558199627426,0.3565891472868217,0.1874640088593577
8,True,embed_words_glove,avg,cosine_similarity,Ridge Regression,neural_course,validation_df,42,0,0,2023-05-28 01:08:13,0.6973759457105423,0.3926757056104294,0.0012145375921689,0.3538461538461538,0.1179487179487179,0.3333333333333333,0.1742424242424242,0.3538461538461538,0.3538461538461538,0.3538461538461538,0.125207100591716,0.3538461538461538,0.1849650349650349
9,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,train_df,42,0,0,2023-05-28 01:08:14,0.8001089499506129,0.3354934769599307,0.0,0.4597648670243123,0.2196997024615055,0.2212518584972948,0.2161276592297049,0.4597648670243123,0.4597648670243123,0.4597648670243123,0.4616097161771816,0.4597648670243123,0.4523802330645188
10,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,test_df,42,0,0,2023-05-28 01:08:14,0.8053298191993854,0.3280328881248151,6.889310199752758e-188,0.4545938748335552,0.2151826251336881,0.2168050342473574,0.2118100963504562,0.4545938748335552,0.4545938748335552,0.4545938748335552,0.4519911538986304,0.4545938748335552,0.4455346123464774
11,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_datasets,validation_df,42,0,0,2023-05-28 01:08:14,0.7901825336034601,0.3419164008066891,1.8246639112811365e-103,0.466844207723036,0.2234615439884498,0.2242885054690995,0.2190990088392947,0.466844207723036,0.466844207723036,0.466844207723036,0.4713157022072917,0.466844207723036,0.4603922472239667
12,True,embed_words_glove,avg,cosine_similarity,Linear Regression,concatenated_datasets,train_df,42,0,0,2023-05-28 01:08:14,0.8092798757520263,0.3034721420002828,0.0,0.4615150477494958,0.1941551413234194,0.1964381886003111,0.1908865768485413,0.4615150477494958,0.4615150477494958,0.4615150477494958,0.4727732369440776,0.4615150477494958,0.4559920603943875
13,True,embed_words_glove,avg,cosine_similarity,Linear Regression,concatenated_datasets,test_df,42,0,0,2023-05-28 01:08:14,0.8128508397086174,0.3013192431085271,2.0141292206235908e-157,0.4580559254327563,0.1883511981835434,0.1912212173937745,0.1855248711556419,0.4580559254327563,0.4580559254327563,0.4580559254327563,0.4644455118207813,0.4580559254327563,0.450535220604136
14,True,embed_words_glove,avg,cosine_similarity,Linear Regression,concatenated_datasets,validation_df,42,0,0,2023-05-28 01:08:14,0.798374622577385,0.3140039977379662,1.0492327044856564e-86,0.474034620505992,0.19752662660443,0.2006323169734594,0.1942958430213195,0.474034620505992,0.474034620505992,0.474034620505992,0.4887907094975937,0.474034620505992,0.4692711931718794
15,True,embed_words_glove,avg,cosine_similarity,Ridge Regression,concatenated_datasets,train_df,42,0,0,2023-05-28 01:08:14,0.8092799235284008,0.3034721420002828,0.0,0.4614009055282883,0.1941183536685217,0.1963875180601632,0.1908465585686914,0.4614009055282883,0.4614009055282883,0.4614009055282883,0.4726438255367323,0.4614009055282883,0.455884152604952
16,True,embed_words_glove,avg,cosine_similarity,Ridge Regression,concatenated_datasets,test_df,42,0,0,2023-05-28 01:08:14,0.8128522359529967,0.3013192431085271,2.0141292206235908e-157,0.4579227696404793,0.1882953854361915,0.1911799411317528,0.1854746897870468,0.4579227696404793,0.4579227696404793,0.4579227696404793,0.4643501115033635,0.4579227696404793,0.4504118772866417
17,True,embed_words_glove,avg,cosine_similarity,Ridge Regression,concatenated_datasets,validation_df,42,0,0,2023-05-28 01:08:14,0.7983786948430436,0.3140039977379661,1.0492327044863722e-86,0.473768308921438,0.1974063060295174,0.2005113541090588,0.1941956437037409,0.473768308921438,0.473768308921438,0.473768308921438,0.4884429327790189,0.473768308921438,0.4690193596448223
18,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_domains,train_df,42,0,0,2023-05-28 01:08:14,1.0218719469312567,0.3352779541405284,0.0,0.2734951731970471,0.2428528481596732,0.1864386941956297,0.118776787490136,0.2734951731970471,0.2734951731970471,0.2734951731970471,0.460946018013403,0.2734951731970471,0.1765785937522933
19,True,embed_words_glove,avg,cosine_similarity,Isotonic Regression,concatenated_domains,test_df,42,0,0,2023-05-28 01:08:14,1.0019608757024607,0.3539034424667685,4.4866370446706375e-119,0.2782608695652174,0.2298109449267939,0.1855408878923694,0.1180531551101004,0.2782608695652174,0.2782608695652174,0.2782608695652174,0.432860099016002,0.2782608695652174,0.1789576952561235
